,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'YouthBks'}),frozenset({'ChildBks'}),0.2475,0.423,0.165,0.6666666666666667,1.5760441292356189,0.060307500000000014,1.7310000000000003
1,frozenset({'ChildBks'}),frozenset({'CookBks'}),0.423,0.431,0.256,0.6052009456264775,1.4041785281356787,0.073687,1.4412395209580837
2,frozenset({'DoItYBks'}),frozenset({'ChildBks'}),0.282,0.423,0.184,0.6524822695035462,1.5425112754220949,0.06471400000000001,1.6603469387755103
3,frozenset({'RefBks'}),frozenset({'ChildBks'}),0.2145,0.423,0.1515,0.7062937062937062,1.669725073980393,0.0607665,1.9645476190476185
4,frozenset({'ArtBks'}),frozenset({'ChildBks'}),0.241,0.423,0.1625,0.6742738589211619,1.5940280352746143,0.060557000000000014,1.7714267515923567
5,frozenset({'GeogBks'}),frozenset({'ChildBks'}),0.276,0.423,0.195,0.7065217391304347,1.6702641587007914,0.078252,1.9660740740740734
6,frozenset({'ItalCook'}),frozenset({'ChildBks'}),0.1135,0.423,0.085,0.748898678414097,1.7704460482602766,0.03698950000000001,2.2978771929824564
7,frozenset({'YouthBks'}),frozenset({'CookBks'}),0.2475,0.431,0.162,0.6545454545454545,1.5186669479012866,0.0553275,1.6471052631578946
8,frozenset({'DoItYBks'}),frozenset({'CookBks'}),0.282,0.431,0.1875,0.6648936170212767,1.5426766056178114,0.06595800000000002,1.6979682539682543
9,frozenset({'RefBks'}),frozenset({'CookBks'}),0.2145,0.431,0.1525,0.710955710955711,1.649549213354318,0.06005049999999999,1.9685564516129033
10,frozenset({'ArtBks'}),frozenset({'CookBks'}),0.241,0.431,0.167,0.6929460580912864,1.6077634758498525,0.06312900000000002,1.853094594594595
11,frozenset({'GeogBks'}),frozenset({'CookBks'}),0.276,0.431,0.1925,0.697463768115942,1.6182454016611183,0.073544,1.880766467065868
12,frozenset({'ItalCook'}),frozenset({'CookBks'}),0.1135,0.431,0.1135,1.0,2.320185614849188,0.0645815,inf
13,"frozenset({'ChildBks', 'YouthBks'})",frozenset({'CookBks'}),0.165,0.431,0.129,0.7818181818181819,1.8139632988820924,0.057885000000000006,2.607916666666667
14,"frozenset({'YouthBks', 'CookBks'})",frozenset({'ChildBks'}),0.162,0.423,0.129,0.7962962962962963,1.8824971543647666,0.060474,2.8325454545454543
15,"frozenset({'YouthBks', 'DoItYBks'})",frozenset({'ChildBks'}),0.1155,0.423,0.095,0.8225108225108225,1.9444700295764126,0.0461435,3.25090243902439
16,"frozenset({'YouthBks', 'RefBks'})",frozenset({'ChildBks'}),0.0965,0.423,0.083,0.8601036269430052,2.033341907666679,0.0421805,4.1244814814814825
17,"frozenset({'ArtBks', 'YouthBks'})",frozenset({'ChildBks'}),0.101,0.423,0.0805,0.797029702970297,1.884230976289118,0.037777,2.842780487804877
18,"frozenset({'ChildBks', 'YouthBks'})",frozenset({'GeogBks'}),0.165,0.276,0.099,0.6,2.1739130434782608,0.05346,1.8099999999999998
19,"frozenset({'GeogBks', 'YouthBks'})",frozenset({'ChildBks'}),0.1205,0.423,0.099,0.8215767634854773,1.9422618522115302,0.04802850000000001,3.233883720930234
20,"frozenset({'ChildBks', 'DoItYBks'})",frozenset({'CookBks'}),0.184,0.431,0.146,0.7934782608695652,1.8410168465651164,0.06669599999999999,2.7551578947368416
21,"frozenset({'DoItYBks', 'CookBks'})",frozenset({'ChildBks'}),0.1875,0.423,0.146,0.7786666666666666,1.8408195429472025,0.0666875,2.606927710843373
22,"frozenset({'ChildBks', 'RefBks'})",frozenset({'CookBks'}),0.1515,0.431,0.1225,0.8085808580858086,1.8760576753731057,0.057203500000000004,2.9725344827586206
23,"frozenset({'CookBks', 'RefBks'})",frozenset({'ChildBks'}),0.1525,0.423,0.1225,0.8032786885245902,1.8990039917839012,0.0579925,2.9330833333333333
24,"frozenset({'ArtBks', 'ChildBks'})",frozenset({'CookBks'}),0.1625,0.431,0.1265,0.7784615384615384,1.8061752632518293,0.0564625,2.568402777777777
25,"frozenset({'ArtBks', 'CookBks'})",frozenset({'ChildBks'}),0.167,0.423,0.1265,0.7574850299401197,1.7907447516314887,0.055859000000000006,2.3792345679012334
26,"frozenset({'ChildBks', 'GeogBks'})",frozenset({'CookBks'}),0.195,0.431,0.1495,0.7666666666666666,1.7788089713843773,0.06545499999999999,2.4385714285714277
27,"frozenset({'GeogBks', 'CookBks'})",frozenset({'ChildBks'}),0.1925,0.423,0.1495,0.7766233766233765,1.835989070031623,0.0680725,2.5830813953488363
28,"frozenset({'ChildBks', 'ItalCook'})",frozenset({'CookBks'}),0.085,0.431,0.085,1.0,2.320185614849188,0.048365000000000005,inf
29,"frozenset({'ItalCook', 'CookBks'})",frozenset({'ChildBks'}),0.1135,0.423,0.085,0.748898678414097,1.7704460482602766,0.03698950000000001,2.2978771929824564
30,frozenset({'ItalCook'}),"frozenset({'ChildBks', 'CookBks'})",0.1135,0.256,0.085,0.748898678414097,2.925385462555066,0.05594400000000001,2.962947368421053
31,"frozenset({'DoItYBks', 'RefBks'})",frozenset({'ChildBks'}),0.1055,0.423,0.09,0.8530805687203792,2.0167389331451044,0.0453735,3.927322580645162
32,"frozenset({'ArtBks', 'DoItYBks'})",frozenset({'ChildBks'}),0.1235,0.423,0.095,0.7692307692307693,1.8185124568103292,0.042759500000000006,2.5003333333333337
33,"frozenset({'GeogBks', 'DoItYBks'})",frozenset({'ChildBks'}),0.1325,0.423,0.1045,0.7886792452830188,1.8644899415674203,0.048452499999999996,2.7304464285714274
34,"frozenset({'ArtBks', 'RefBks'})",frozenset({'ChildBks'}),0.0895,0.423,0.076,0.8491620111731844,2.007475203719112,0.0381415,3.8252962962962958
35,"frozenset({'ChildBks', 'RefBks'})",frozenset({'GeogBks'}),0.1515,0.276,0.094,0.6204620462046205,2.2480508920457263,0.052185999999999996,1.9075826086956524
36,"frozenset({'GeogBks', 'RefBks'})",frozenset({'ChildBks'}),0.1105,0.423,0.094,0.8506787330316742,2.0110608345902463,0.0472585,3.8641515151515144
37,"frozenset({'ArtBks', 'ChildBks'})",frozenset({'GeogBks'}),0.1625,0.276,0.102,0.6276923076923077,2.274247491638796,0.057149999999999986,1.9446280991735534
38,"frozenset({'ArtBks', 'GeogBks'})",frozenset({'ChildBks'}),0.1275,0.423,0.102,0.7999999999999999,1.8912529550827422,0.04806749999999999,2.884999999999999
39,"frozenset({'ChildBks', 'ItalCook'})",frozenset({'GeogBks'}),0.085,0.276,0.0525,0.6176470588235293,2.2378516624040916,0.029039999999999993,1.893538461538461
40,"frozenset({'GeogBks', 'ItalCook'})",frozenset({'ChildBks'}),0.064,0.423,0.0525,0.8203125,1.93927304964539,0.025428,3.2111304347826084
41,"frozenset({'YouthBks', 'DoItYBks'})",frozenset({'CookBks'}),0.1155,0.431,0.095,0.8225108225108225,1.908377778447384,0.0452195,3.2058292682926828
42,"frozenset({'YouthBks', 'RefBks'})",frozenset({'CookBks'}),0.0965,0.431,0.0775,0.8031088082901554,1.8633615041534928,0.035908499999999996,2.8899210526315784
