,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
44,"frozenset({'Sixth Sense', 'V3_Sixth Sense'})",frozenset({'Patriot'}),0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
45,"frozenset({'Patriot', 'V3_Sixth Sense'})",frozenset({'Sixth Sense'}),0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
46,frozenset({'V3_Sixth Sense'}),"frozenset({'Sixth Sense', 'Patriot'})",0.4,0.4,0.4,1.0,2.5,0.24,inf
47,"frozenset({'Sixth Sense', 'V1_Sixth Sense'})",frozenset({'Green Mile'}),0.2,0.2,0.2,1.0,5.0,0.16,inf
48,"frozenset({'Sixth Sense', 'Green Mile'})",frozenset({'V1_Sixth Sense'}),0.2,0.2,0.2,1.0,5.0,0.16,inf
49,"frozenset({'Green Mile', 'V1_Sixth Sense'})",frozenset({'Sixth Sense'}),0.2,0.6,0.2,1.0,1.6666666666666667,0.08000000000000002,inf
50,frozenset({'V1_Sixth Sense'}),"frozenset({'Sixth Sense', 'Green Mile'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
51,frozenset({'Green Mile'}),"frozenset({'Sixth Sense', 'V1_Sixth Sense'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
52,"frozenset({'Sixth Sense', 'V4_Green Mile'})",frozenset({'Green Mile'}),0.2,0.2,0.2,1.0,5.0,0.16,inf
53,"frozenset({'Sixth Sense', 'Green Mile'})",frozenset({'V4_Green Mile'}),0.2,0.2,0.2,1.0,5.0,0.16,inf
54,"frozenset({'V4_Green Mile', 'Green Mile'})",frozenset({'Sixth Sense'}),0.2,0.6,0.2,1.0,1.6666666666666667,0.08000000000000002,inf
55,frozenset({'V4_Green Mile'}),"frozenset({'Sixth Sense', 'Green Mile'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
56,frozenset({'Green Mile'}),"frozenset({'Sixth Sense', 'V4_Green Mile'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
57,"frozenset({'Sixth Sense', 'V1_Gladiator'})",frozenset({'V2_Patriot'}),0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
58,"frozenset({'Sixth Sense', 'V2_Patriot'})",frozenset({'V1_Gladiator'}),0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
59,"frozenset({'Sixth Sense', 'V1_Gladiator'})",frozenset({'V3_Sixth Sense'}),0.4,0.4,0.4,1.0,2.5,0.24,inf
60,"frozenset({'Sixth Sense', 'V3_Sixth Sense'})",frozenset({'V1_Gladiator'}),0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
61,"frozenset({'V1_Gladiator', 'V3_Sixth Sense'})",frozenset({'Sixth Sense'}),0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
62,frozenset({'V3_Sixth Sense'}),"frozenset({'Sixth Sense', 'V1_Gladiator'})",0.4,0.4,0.4,1.0,2.5,0.24,inf
63,"frozenset({'Sixth Sense', 'V4_Green Mile'})",frozenset({'V1_Sixth Sense'}),0.2,0.2,0.2,1.0,5.0,0.16,inf
64,"frozenset({'Sixth Sense', 'V1_Sixth Sense'})",frozenset({'V4_Green Mile'}),0.2,0.2,0.2,1.0,5.0,0.16,inf
65,"frozenset({'V4_Green Mile', 'V1_Sixth Sense'})",frozenset({'Sixth Sense'}),0.2,0.6,0.2,1.0,1.6666666666666667,0.08000000000000002,inf
66,frozenset({'V4_Green Mile'}),"frozenset({'Sixth Sense', 'V1_Sixth Sense'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
67,frozenset({'V1_Sixth Sense'}),"frozenset({'Sixth Sense', 'V4_Green Mile'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
68,"frozenset({'Sixth Sense', 'V3_Sixth Sense'})",frozenset({'V2_Patriot'}),0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
69,"frozenset({'Sixth Sense', 'V2_Patriot'})",frozenset({'V3_Sixth Sense'}),0.4,0.4,0.4,1.0,2.5,0.24,inf
70,"frozenset({'V3_Sixth Sense', 'V2_Patriot'})",frozenset({'Sixth Sense'}),0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
71,frozenset({'V3_Sixth Sense'}),"frozenset({'Sixth Sense', 'V2_Patriot'})",0.4,0.4,0.4,1.0,2.5,0.24,inf
72,"frozenset({'V1_Gladiator', 'Gladiator'})",frozenset({'Patriot'}),0.6,0.6,0.6,1.0,1.6666666666666667,0.24,inf
73,"frozenset({'V1_Gladiator', 'Patriot'})",frozenset({'Gladiator'}),0.6,0.7,0.6,1.0,1.4285714285714286,0.18,inf
