,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
102,"frozenset({'YouthBks', 'DoItYBks', 'RefBks'})",frozenset({'CookBks'}),0.058,0.431,0.0485,0.8362068965517241,1.9401552124169932,0.023502000000000002,3.473894736842104
103,"frozenset({'ArtBks', 'YouthBks', 'DoItYBks'})",frozenset({'CookBks'}),0.06,0.431,0.0525,0.875,2.0301624129930396,0.02664,4.552
104,"frozenset({'YouthBks', 'GeogBks', 'DoItYBks'})",frozenset({'CookBks'}),0.068,0.431,0.06,0.8823529411764705,2.0472226013375185,0.030691999999999997,4.836499999999994
105,"frozenset({'YouthBks', 'GeogBks', 'RefBks'})",frozenset({'CookBks'}),0.057,0.431,0.048,0.8421052631578947,1.9538405177677372,0.023433,3.6036666666666655
106,"frozenset({'ArtBks', 'YouthBks', 'GeogBks'})",frozenset({'CookBks'}),0.065,0.431,0.056,0.8615384615384615,1.9989291451008386,0.027985,4.109444444444442
107,"frozenset({'ArtBks', 'DoItYBks', 'RefBks'})",frozenset({'CookBks'}),0.0535,0.431,0.0425,0.7943925233644861,1.843138105254028,0.019441500000000004,2.767409090909092
108,"frozenset({'GeogBks', 'DoItYBks', 'RefBks'})",frozenset({'CookBks'}),0.0585,0.431,0.0495,0.8461538461538461,1.9632339817954667,0.024286500000000003,3.6984999999999997
109,"frozenset({'ArtBks', 'GeogBks', 'DoItYBks'})",frozenset({'CookBks'}),0.073,0.431,0.065,0.8904109589041097,2.065918698153387,0.033537000000000004,5.192125000000005
110,"frozenset({'ArtBks', 'GeogBks', 'RefBks'})",frozenset({'CookBks'}),0.0565,0.431,0.046,0.8141592920353982,1.88900067757633,0.021648499999999998,3.0617619047619034
111,"frozenset({'ChildBks', 'YouthBks', 'DoItYBks', 'RefBks'})",frozenset({'CookBks'}),0.053,0.431,0.044,0.830188679245283,1.9261918311955522,0.021157,3.350777777777776
112,"frozenset({'YouthBks', 'CookBks', 'DoItYBks', 'RefBks'})",frozenset({'ChildBks'}),0.0485,0.423,0.044,0.9072164948453607,2.14471984597012,0.0234845,6.2187777777777695
113,"frozenset({'YouthBks', 'DoItYBks', 'RefBks'})","frozenset({'ChildBks', 'CookBks'})",0.058,0.256,0.044,0.7586206896551724,2.963362068965517,0.029151999999999997,3.082285714285714
114,"frozenset({'ChildBks', 'YouthBks', 'DoItYBks', 'ArtBks'})",frozenset({'CookBks'}),0.051,0.431,0.0445,0.8725490196078431,2.0244756835448796,0.022519,4.4644615384615385
115,"frozenset({'ArtBks', 'YouthBks', 'DoItYBks', 'CookBks'})",frozenset({'ChildBks'}),0.0525,0.423,0.0445,0.8476190476190476,2.0038275357424293,0.0222925,3.786562499999999
116,"frozenset({'ArtBks', 'YouthBks', 'DoItYBks'})","frozenset({'ChildBks', 'CookBks'})",0.06,0.256,0.0445,0.7416666666666667,2.8971354166666665,0.02914,2.8800000000000003
117,"frozenset({'ChildBks', 'YouthBks', 'GeogBks', 'DoItYBks'})",frozenset({'CookBks'}),0.0565,0.431,0.051,0.9026548672566371,2.094326838182453,0.026648499999999995,5.845181818181815
